,model,test_accuracy,outcome,fit_time,score_time,test_precision,test_recall,test_f1,test_roc_auc
30,l2_feature_selection_1year30_oversample_oversample,0.7691275167785234,Outcome,15.96403489112854,0.0086061954498291,0.2896918098370004,0.4904878048780487,0.3614177160385291,0.7441575147155869
31,elasticnet_feature_selection_1year5,0.8711409395973154,Outcome,3.462541437149048,0.0088100433349609,0.7316666666666667,0.1284146341463414,0.2092645753953755,0.8009452792043982
32,elasticnet_feature_selection_1year5_oversample_oversample,0.7248322147651007,Outcome,4.794972324371338,0.0090011119842529,0.288028322978818,0.6785365853658536,0.4031913044304537,0.7725206194782064
33,elasticnet_feature_selection_1year10,0.8704697986577182,Outcome,7.30093207359314,0.0083924293518066,0.7041269841269842,0.1234146341463414,0.1998125570241935,0.8177704074163173
34,elasticnet_feature_selection_1year10_oversample_oversample,0.7469798657718121,Outcome,13.198616933822631,0.0090006351470947,0.3114333357976621,0.6736585365853659,0.4237072259658154,0.7861411044727586
35,elasticnet_feature_selection_1year15,0.8718120805369127,Outcome,11.115108442306518,0.0086046695709228,0.7001359751359751,0.1332926829268292,0.215843458428364,0.8199191755445743
36,elasticnet_feature_selection_1year15_oversample_oversample,0.7563758389261744,Outcome,19.775315141677854,0.0080001831054687,0.3230095320527758,0.6886585365853659,0.4380238108251751,0.789887048076435
37,elasticnet_feature_selection_1year20,0.8718120805369127,Outcome,16.34473900794983,0.0098032474517822,0.7001359751359751,0.1332926829268292,0.215843458428364,0.8199191755445743
38,elasticnet_feature_selection_1year20_oversample_oversample,0.7557046979865771,Outcome,25.05212140083313,0.0099640369415283,0.3224604586142034,0.6886585365853659,0.4374931308915101,0.7901907398293058
39,elasticnet_feature_selection_1year25,0.8711409395973154,Outcome,19.992326402664183,0.0087952613830566,0.6894216894216894,0.1282926829268293,0.2082193449531867,0.8200548344593029
40,elasticnet_feature_selection_1year25_oversample_oversample,0.7563758389261744,Outcome,29.47582588195801,0.0084000587463378,0.3230744937019227,0.6886585365853659,0.4380942472504624,0.79082109517367
41,elasticnet_feature_selection_1year30,0.8724832214765101,Outcome,23.787747955322267,0.0098020553588867,0.7137662337662338,0.1430487804878048,0.2283140972502674,0.8220499837045244
42,elasticnet_feature_selection_1year30_oversample_oversample,0.7563758389261744,Outcome,31.146261310577398,0.0083999156951904,0.3230744937019227,0.6886585365853659,0.4380942472504624,0.79082109517367
43,svm_feature_selection_1year5,0.8644295302013424,Outcome,0.2013838291168213,0.026410770416259766,0.45555555555555555,0.039878048780487806,0.07031539888682746,0.7161734563255504
44,svm_feature_selection_1year5_oversample,0.6637583892617449,Outcome,1.0213357925415039,0.053800010681152345,0.22581529856500254,0.595,0.32618031317959223,0.7083459797994958
45,svm_feature_selection_1year10,0.8644295302013424,Outcome,0.18399853706359864,0.027908134460449218,0.0,0.0,0.0,0.7255445741951764
