model,accuracy,precision,recall,f1_score,auc,outcome,oversample,n_feature
svm,0.7774798927613941,0.21818181818181817,0.23076923076923078,0.22429906542056074,0.694823867721064,Outcome,True,30.0
svm,0.8605898123324397,0.0,0.0,0.0,0.7543733525041937,Outcome,False,30.0
rf,0.7024128686327078,0.264,0.6346153846153846,0.3728813559322034,0.7496105919003115,Outcome,True,5.0
rf,0.8605898123324397,0.5,0.07692307692307693,0.13333333333333336,0.7952911574406902,Outcome,False,5.0
rf,0.7158176943699732,0.2631578947368421,0.5769230769230769,0.3614457831325302,0.7336149053438773,Outcome,True,10.0
rf,0.871313672922252,1.0,0.07692307692307693,0.14285714285714288,0.7723460340282771,Outcome,False,10.0
rf,0.7238605898123325,0.24242424242424243,0.46153846153846156,0.31788079470198677,0.7271147855260005,Outcome,True,15.0
rf,0.871313672922252,1.0,0.07692307692307693,0.14285714285714288,0.7757608435178528,Outcome,False,15.0
rf,0.7050938337801609,0.26229508196721313,0.6153846153846154,0.367816091954023,0.736580397795351,Outcome,True,20.0
rf,0.871313672922252,0.75,0.11538461538461539,0.19999999999999998,0.78019410496046,Outcome,False,20.0
rf,0.7533512064343163,0.2916666666666667,0.5384615384615384,0.3783783783783784,0.7437694704049844,Outcome,True,25.0
rf,0.8659517426273459,1.0,0.038461538461538464,0.07407407407407407,0.7815720105439732,Outcome,False,25.0
rf,0.8042895442359249,0.3333333333333333,0.40384615384615385,0.36521739130434777,0.7450275581116703,Outcome,True,30.0
rf,0.8766756032171582,0.875,0.1346153846153846,0.23333333333333334,0.7818116462976277,Outcome,False,30.0
dt,0.7453083109919572,0.29523809523809524,0.5961538461538461,0.3949044585987262,0.7309190031152648,Outcome,True,5.0
dt,0.8525469168900804,0.4117647058823529,0.1346153846153846,0.2028985507246377,0.7397555715312725,Outcome,False,5.0
dt,0.7319034852546917,0.30327868852459017,0.7115384615384616,0.4252873563218391,0.7173496285645818,Outcome,True,10.0
dt,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.7379283489096573,Outcome,False,10.0
dt,0.7319034852546917,0.30327868852459017,0.7115384615384616,0.4252873563218391,0.7173496285645818,Outcome,True,15.0
dt,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.7379283489096573,Outcome,False,15.0
dt,0.7319034852546917,0.30327868852459017,0.7115384615384616,0.4252873563218391,0.7173496285645818,Outcome,True,20.0
dt,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.7229810687754613,Outcome,False,20.0
dt,0.7319034852546917,0.30327868852459017,0.7115384615384616,0.4252873563218391,0.7173496285645818,Outcome,True,25.0
dt,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.7229810687754613,Outcome,False,25.0
